"prof_value","loss_value","Profit_dollar","Profit","avg_perc","avg_win","avg_loss","per_symbol_profitable","total_symbols","expected_win_avg","expected_return_avg","per_symbol_profitable_perc","symbol_weighted_profit"
0.2,0.08,2246210243.38611,176245.288579476,0.969204285872017,40.2034122137405,706.23675338983,122,131,38.9653194242366,17.2162542601685,0.931297709923664,164136.833638901
0.2,0.12,1436893232.7123,106120.396210341,0.977598172232047,26.8022679389313,757.207733333333,117,131,26.2018481487728,9.23901092207779,0.893129770992366,94779.2851649606
0.2,0.16,647622206.468035,40678.3634418239,0.987077795704013,13.401141221374,825.739374074074,110,131,13.2279689367121,2.55759604968608,0.83969465648855,34157.4044167987
0.4,0.16,4128678826.61395,332702.709561868,0.948973310577228,80.406827480916,732.684847580645,127,131,76.3039332675769,38.9174511053079,0.969465648854962,322543.848201201
0.4,0.24,2334706229.72543,217347.981018125,0.962803352069843,53.6045549618321,800.335769672131,120,131,51.6106452034641,21.8408373530589,0.916030534351145,199097.387192176
0.4,0.32,985389407.740179,97319.762387529,0.977381127479622,26.8022679389313,855.543770491803,113,131,26.1960308571636,6.84459537680618,0.862595419847328,83947.5812961128
0.6,0.24,5249081332.81745,452227.283306634,0.922128729121741,120.610236641221,766.5857453125,127,131,111.218164233042,51.5231580083998,0.969465648854962,438418.816640782
0.6,0.36,2869173134.5057,270624.01742975,0.945497176157882,80.406827480916,872.947864516129,124,131,76.0244283270201,28.4463046439446,0.946564885496183,256163.192070908
0.6,0.48,1203179233.80889,75343.9787255427,0.971364296794032,40.2034122137405,1029.04557280702,116,131,39.0521592337206,9.58471562540353,0.885496183206107,66716.8055890302
0.8,0.32,5691618799.79472,564057.145075901,0.883740377573729,160.813648854962,798.843898484849,121,132,142.117514758093,49.2442247427138,0.916666666666667,517052.382986243
0.8,0.48,2839942793.36156,301007.267827187,0.917201226088382,107.209103053435,944.048857142857,119,132,98.3323207684464,20.1662328843535,0.901515151515151,271362.612662388
0.8,0.64,901356820.632072,157889.542129758,0.949835198734006,53.6045549618321,1055.44856825397,106,132,50.9154931152197,-2.03087455771838,0.803030303030303,126790.086861775
1,0.4,5804515039.88516,609626.577262451,0.865660788065771,201.017061068702,863.724604615385,121,132,174.012587499398,57.9805047871636,0.916666666666667,558824.36249058
1,0.6,2495670434.35551,356244.583624314,0.904127928975923,134.01137480916,1027.40212698413,112,132,121.163426765422,22.664257076912,0.848484848484849,302268.131560024
1,0.8,804486224.181755,113904.730084223,0.958578948591241,66.541146969697,1256.26799051724,109,132,63.7849427002673,11.7490016818738,0.825757575757576,94057.6937816687
1.2,0.48,5766817100.02267,640480.383095621,0.84665898099276,241.220482442748,930.5322859375,119,132,204.231487859559,61.5427189147668,0.901515151515151,577402.769608931
1.2,0.72,2330536474.3744,360490.486480074,0.900285842226847,159.698751515152,1108.3899984127,108,132,143.774525010394,33.252349834486,0.818181818181818,294946.761665515
1.2,0.96,680658315.555797,137123.353653115,0.94821796276713,79.8493787878788,1301.98409430894,94,132,75.7146152824633,8.29522643435263,0.712121212121212,97648.4488135816
1.4,0.56,5059683850.58204,715632.078941502,0.827745371442642,281.423888549618,962.728188549618,118,132,232.947321160336,67.1129346400234,0.893939393939394,639731.706932555
1.4,0.84,1677384048.69359,367154.47326995,0.89327143103411,186.315204545455,1173.69542734375,110,132,166.430049387731,41.1632160255239,0.833333333333333,305962.061058292
1.4,1.12,87935590.2333651,104514.423941247,0.944555620932674,93.1576151515151,1422.48805737705,93,132,87.9925490240465,9.12358195208897,0.704545454545455,73635.1623222421
